ID;DT_CUSTOMER;YEAR_BIRTH;ANNUAL_INCOME;ID_EDUCATION;ID_MARITAL_STATUS;KID_HOME;TEEN_HOME;DAYS_LAST_PURCHASE;MNT_WINES;MNT_FRUITS;MNT_MEAT;MNT_FISH;MNT_SWEET;NUM_DEALS_PURCHASES;WEB_PURCHASES;CATALOG_PURCHASES;STORE_PURCHASES;WEB_VISITS_MONTH;COMPLAIN
5524;4/9/2012;1957;58138;3;5;0;0;58;635;88;546;172;88;3;8;10;4;7;0
2174;8/3/2014;1954;46344;3;5;1;1;38;11;1;6;2;1;2;1;1;2;5;0
4141;21/8/2013;1965;71613;3;6;0;0;26;426;49;127;111;21;1;8;2;10;4;0
6182;10/2/2014;1984;26646;3;6;1;0;26;11;4;20;10;3;2;2;0;4;6;0
5324;19/1/2014;1981;58293;5;4;1;0;94;173;43;118;46;27;5;5;3;6;5;0
7446;9/9/2013;1967;62513;4;6;0;1;16;520;42;98;0;42;2;6;4;10;6;0
965;13/11/2012;1971;55635;3;3;0;1;34;235;65;164;50;49;4;7;3;7;6;0
6177;8/5/2013;1985;33454;5;4;1;0;32;76;10;56;3;1;2;4;0;4;8;0
4855;6/6/2013;1974;30351;5;6;1;0;19;14;0;24;3;3;1;3;0;2;9;0
5899;13/3/2014;1950;5648;5;6;1;1;68;28;0;6;1;1;1;1;0;0;20;0
1994;15/11/2013;1983;;3;4;1;0;11;5;5;6;0;2;1;1;0;2;7;0
387;13/11/2012;1976;7500;2;4;0;0;59;6;16;11;11;1;1;2;0;3;8;0
2125;15/11/2013;1959;63033;3;3;0;0;82;194;61;480;225;112;1;3;4;8;2;0
8180;15/11/2013;1952;59354;4;3;1;1;53;233;2;53;3;5;3;6;1;5;6;0
2569;10/10/2012;1987;17323;3;4;0;0;38;3;14;17;6;1;1;1;0;3;8;0
2114;24/11/2012;1946;82800;5;5;0;0;23;1006;22;115;59;68;1;7;6;12;3;0
9736;24/12/2012;1980;41850;3;4;1;1;51;53;5;19;2;13;3;3;0;3;8;0
4939;31/8/2012;1946;37760;3;6;0;0;20;84;5;38;150;12;2;4;1;6;7;0
6565;28/3/2013;1949;76995;4;4;0;1;91;1012;80;498;0;16;2;11;4;9;5;0
2278;3/11/2012;1985;33812;1;5;1;0;86;4;17;19;30;24;2;2;1;3;6;0
9360;8/8/2012;1982;37040;3;4;0;0;41;86;2;73;69;38;1;4;2;5;8;0
5376;6/1/2013;1979;2447;3;4;1;0;42;1;1;1725;1;1;15;0;28;0;1;0
1993;23/12/2012;1949;58607;5;4;0;1;63;867;0;86;0;0;3;2;3;9;8;0
4047;11/1/2014;1954;65324;5;4;0;1;0;384;0;102;21;32;3;6;2;9;4;0
1409;18/3/2013;1951;40689;3;6;0;1;69;270;3;27;39;6;7;7;1;5;8;0
7892;2/1/2013;1969;18589;3;5;0;0;89;6;4;25;15;12;2;2;1;3;7;0
2404;27/5/2013;1976;53359;3;4;1;1;4;173;4;30;3;6;4;5;1;4;7;0
5255;20/2/2013;1986;;3;5;1;0;19;5;1;3;3;263;0;27;0;0;1;0
9422;31/5/2013;1989;38360;3;4;1;0;26;36;2;42;20;21;2;2;1;4;3;0
1966;22/11/2013;1965;84618;5;4;0;0;96;684;100;801;21;66;1;6;9;10;2;0
6864;22/5/2014;1989;10979;4;3;0;0;34;8;4;10;2;2;2;3;0;3;5;0
3033;11/5/2013;1963;38620;4;6;0;0;56;112;17;44;34;22;1;2;5;3;3;0
5710;10/10/2012;1970;40548;3;6;0;1;31;110;0;5;2;0;2;2;1;4;5;0
7373;29/10/2012;1952;46610;5;3;0;2;8;96;12;96;33;22;6;4;1;6;6;0
8755;20/2/2013;1946;68657;4;4;0;0;4;482;34;471;119;68;1;3;5;9;7;0
10738;29/8/2013;1951;49389;4;5;1;1;55;40;0;19;2;1;1;2;0;3;7;0
4339;31/12/2013;1970;67353;5;4;0;1;37;702;17;151;0;8;5;5;6;12;2;0
10755;2/9/2013;1976;23718;1;4;1;0;76;6;3;14;15;7;3;3;1;2;7;0
8595;11/2/2014;1973;42429;3;7;0;1;99;55;0;6;2;0;2;1;1;3;5;0
2968;1/2/2013;1943;48948;5;3;0;0;53;437;8;206;160;49;2;7;10;5;6;0
8601;29/4/2013;1980;80011;3;4;0;1;3;421;76;536;82;178;2;8;6;5;4;0
503;12/3/2013;1985;20559;4;4;1;0;88;13;1;29;3;0;2;2;0;3;8;0
8430;24/12/2012;1957;21994;3;6;0;1;4;9;0;6;3;1;1;0;0;3;5;0
7281;5/11/2013;1959;;5;5;0;0;80;81;11;50;3;2;1;1;3;4;2;0
2139;2/10/2013;1975;7500;4;4;1;0;19;3;1;10;3;2;3;2;0;3;5;0
1371;28/6/2014;1976;79941;3;5;0;0;72;123;164;266;227;30;1;2;4;9;1;0
9909;9/11/2012;1996;7500;1;4;0;0;24;3;18;14;15;22;3;3;1;3;9;0
7286;24/5/2013;1968;41728;3;6;1;0;92;13;6;15;3;5;1;2;0;2;10;0
7244;1/1/2014;1951;;3;5;2;1;96;48;5;48;6;10;3;2;1;4;6;0
6566;8/11/2012;1954;72550;5;4;1;1;39;826;50;317;50;38;9;5;2;12;8;0
8614;12/5/2014;1957;65486;3;7;0;1;29;245;19;125;37;67;1;4;2;10;2;0
4114;11/8/2012;1964;79143;4;4;0;0;2;650;37;780;27;167;1;6;9;13;3;0
1331;2/1/2013;1977;35790;3;5;1;0;54;12;6;20;30;1;2;2;0;3;7;0
2225;7/6/2014;1977;82582;3;3;0;0;54;510;120;550;156;40;1;4;9;7;1;0
9381;12/6/2013;1978;66373;3;4;1;1;57;328;9;124;12;24;7;4;2;10;3;0
6260;19/11/2012;1955;82384;4;6;0;0;55;984;51;432;180;120;1;3;10;13;1;0
10383;2/4/2013;1966;70287;3;3;0;0;30;295;35;482;121;120;1;5;5;10;3;0
7437;28/4/2014;1988;27938;3;5;1;0;31;13;0;8;2;1;1;1;0;4;3;0
8557;17/6/2013;1982;;3;5;1;0;57;11;3;22;2;2;2;2;0;3;6;0
8375;3/3/2014;1968;55954;5;4;0;1;63;447;0;28;0;0;3;8;2;6;7;0
6853;4/7/2013;1982;75777;4;5;0;0;12;712;26;538;69;13;1;3;6;11;1;0
3076;7/9/2012;1975;66653;3;6;1;1;18;452;18;102;16;18;4;4;2;12;3;0
1012;18/2/2013;1952;61823;3;5;0;1;26;523;7;134;37;14;4;8;2;10;7;0
6518;11/6/2013;1951;67680;5;7;0;1;8;546;0;48;0;6;1;7;3;8;5;0
4137;6/12/2013;1948;70666;3;6;0;0;29;398;40;367;119;122;1;7;4;4;4;0
8082;21/5/2013;1971;25721;3;4;1;0;75;1;3;6;3;6;1;1;1;2;7;0
1386;11/5/2014;1967;32474;3;6;1;1;0;10;0;1;0;0;1;1;0;2;7;0
