IncidentState,IncidentCity,IncidentCityLat,IncidentCityLon
Alabama,Birmingham,33.5206824,-86.8024326
Alabama,Calera,33.1035045,-86.7505733
Alabama,Indian Springs Village,33.3553882,-86.7544321
Alabama,Mathews,32.2654206,-86.0038464
Alabama,Montevallo,33.1006746,-86.8641558
Alabama,Montgomery,32.3669656,-86.3006485
Alabama,Pelham,33.285669,-86.8099884
Alabama,Pike Road,32.2843084,-86.1030169
Alaska,Anchorage,61.2163129,-149.894852
Alaska,Homer,59.6440876,-151.540147
Alaska,Kenai,60.560266,-151.20714472351614
Alaska,Soldotna,60.4847228,-151.065349
Arizona,Glendale,33.5386858,-112.185994
Arizona,Litchfield Park,33.4933796,-112.358124
Arizona,Mesa,33.4151005,-111.831455
Arizona,Peoria,33.5806115,-112.237294
Arizona,Waddell,33.5643025,-112.4447662
Arkansas,Conway,35.2521996,-92.6888936
Arkansas,Farmington,36.0420248,-94.2471515
Arkansas,Fayetteville,36.0625843,-94.1574328
Arkansas,McCrory,35.2561979,-91.2001246
Arkansas,North Little Rock,34.769536,-92.2670941
Arkansas,Van Buren,35.5759086,-92.4916144
California,Alameda,37.6090291,-121.899142
California,Antioch,38.0049214,-121.805789
California,Aptos,36.9941295,-121.89033677231834
California,Atascadero,35.4894169,-120.6707255
California,Bakersfield,35.3738712,-119.019463
California,Baldwin Park,34.0854739,-117.9611761
California,Berkeley,37.8708393,-122.272863
California,Blue Lake,40.882907,-123.983949
California,Capitola,36.9762927,-121.954057
California,Carlsbad,33.1580933,-117.3505966
California,Carson,33.8322043,-118.2517547
California,Castaic,34.4826899,-118.6307097
California,Castro Valley,37.6945519,-122.0857432
California,Chico,39.7284945,-121.8374777
California,Concord,37.9768525,-122.0335624
California,Cupertino,37.3228934,-122.0322895
California,Davis,38.5435526,-121.739005
California,Dublin,37.7021521,-121.9357918
California,El Cerrito,33.8410146,-117.52079778811958
California,Elk Grove,38.4087993,-121.3716178
California,Escondido,33.1216751,-117.0814849
California,Eureka,40.7906871,-124.1673746
California,Fairfield,38.2493581,-122.039966
California,Fortuna,40.597407,-124.156034
California,Fremont,37.5482697,-121.988571
California,Fresno,36.7394421,-119.78483
California,Gardena,33.8815702,-118.2918113
California,Grass Valley,39.2190607,-121.06292
California,Hanford,36.3274502,-119.6456844
California,Hayward,37.6688205,-122.080796
California,Hesperia,34.4263886,-117.3008784
California,Ione,38.3526913,-120.932717
California,Jackson,38.3488024,-120.774101
California,King City,36.2135325,-121.12864159269489
California,Lincoln,38.8915741,-121.29318
California,Linda,39.1187725,-121.55479136972532
California,Livermore,37.6820583,-121.768053
California,Los Angeles,34.0536909,-118.242766
California,Madera,37.1716264,-119.7737991
California,Magalia,39.8219895,-121.61065448657719
California,Mammoth Lakes,37.6432525,-118.9668509
California,Marysville,39.1457247,-121.5913516
California,McKinleyville,40.966004999999996,-124.10278977452401
California,Monte Rio,38.4662855,-123.0196176658942
California,Morro Bay,35.3658075,-120.849901
California,Mountain View,37.3893889,-122.0832101
California,Newark,37.5296593,-122.0402399
California,O'Neals,37.1282815,-119.6943135
California,Oakhurst,37.333178000000004,-119.65724412283629
California,Oakland,37.8044557,-122.271356
California,Olivehurst,39.0953715,-121.5517753
California,Orange,33.750631,-117.8722311
California,Oroville,39.5137752,-121.556359
California,Paso Robles,35.6262618,-120.6901319
California,Piedmont,37.8243715,-122.231635
California,Pioneer,38.4318551,-120.5718719
California,Pismo Beach,35.1427436,-120.641288
California,Pleasanton,37.6624312,-121.8746789
California,Rancho Cordova,38.5890723,-121.302728
California,Rancho Palos Verdes,33.7483311,-118.3707683
California,Redding,40.5863563,-122.391675
California,Redlands,34.0550328,-117.1827445
California,Rohnert Park,38.3396367,-122.701098
California,Roseville,38.7521235,-121.2880059
California,Sacramento,38.5810606,-121.493895
California,Salinas,36.6744117,-121.655037
California,San Diego,32.7174202,-117.162772
California,San Gabriel,34.0990995,-118.1085554
California,San Jose,37.3361663,-121.890591
California,San Leandro,37.7249296,-122.1560768
California,San Lorenzo,37.673589500000006,-122.13185702134774
California,Santa Clara,37.2333253,-121.6846349
California,Santa Cruz,37.050096,-121.99059
California,Santa Rosa,38.4404925,-122.7141049
California,Sebastopol,38.4021038,-122.824222
California,Selma,36.5707838,-119.6120765
California,Smartsville,39.2073932,-121.2985701
California,Soda Springs,39.0240651,-123.315841
California,Soquel,36.992568000000006,-121.942859743031
