IncidentCityLat,IncidentCityLon,IncidentOcurredDate,IncidentDateAvgTemp,IncidentDateRained
26.9351529,-82.0512058,2021-04-06,20.5,0.0
26.9351529,-82.0512058,2021-05-21,25.1,0.0
26.98242,-82.10688734598534,2020-06-09,28.5,1.0
26.98242,-82.10688734598534,2020-06-19,26.8,1.0
26.98242,-82.10688734598534,2020-08-10,27.7,1.0
26.98242,-82.10688734598534,2020-08-21,27.3,1.0
26.98242,-82.10688734598534,2020-09-11,28.0,1.0
26.98242,-82.10688734598534,2020-09-22,26.0,0.0
26.98242,-82.10688734598534,2020-10-02,24.0,0.0
26.98242,-82.10688734598534,2020-10-06,28.2,0.0
26.98242,-82.10688734598534,2020-10-14,26.2,0.0
26.98242,-82.10688734598534,2020-10-21,25.4,1.0
26.98242,-82.10688734598534,2020-11-22,22.4,0.0
26.98242,-82.10688734598534,2021-01-01,23.6,0.0
26.98242,-82.10688734598534,2021-01-27,22.0,1.0
26.98242,-82.10688734598534,2021-02-18,24.9,0.0
26.98242,-82.10688734598534,2021-05-16,24.1,0.0
26.98242,-82.10688734598534,2021-06-17,24.7,1.0
27.8580398,-82.16192700072409,2020-07-01,29.8,0.0
27.8580398,-82.16192700072409,2021-02-03,9.0,0.0
27.8580398,-82.16192700072409,2021-02-25,18.8,0.0
27.871197,-82.3269883,2020-10-03,23.5,1.0
27.9477595,-82.458444,2020-06-23,29.7,0.0
27.9477595,-82.458444,2020-07-29,27.9,1.0
27.9477595,-82.458444,2020-09-16,28.5,1.0
27.9477595,-82.458444,2020-10-15,27.2,0.0
27.9477595,-82.458444,2020-11-29,22.7,0.0
27.9477595,-82.458444,2021-01-21,15.6,0.0
27.9477595,-82.458444,2021-01-30,16.3,0.0
27.9477595,-82.458444,2021-04-18,26.0,1.0
27.9946969,-80.6366144,2020-08-20,25.4,1.0
27.9946969,-80.6366144,2020-11-09,25.5,1.0
27.9946969,-80.6366144,2020-11-18,20.2,0.0
27.9946969,-80.6366144,2020-12-19,16.0,0.0
27.9946969,-80.6366144,2021-02-05,17.4,0.0
27.9946969,-80.6366144,2021-03-28,26.1,0.0
28.0684067,-80.5607951,2020-11-22,21.4,1.0
28.0684067,-80.5607951,2021-02-02,9.0,0.0
28.2662775,-80.66369844594115,2020-08-19,27.3,1.0
